title,date,text,link
How the MTA can defeat the bus-fare deadbeats — and reward the rest of us,2024-09-03 00:00:00,"Nearly half of New York City bus riders aren’t paying their fares — and the biggest problem with this mass-scale casual theft isn’t the $300 million-plus a year it costs the Metropolitan Transportation Authority.

No, the real crisis is that public contempt for the situation will eventually result in huge cuts to bus service.

Why should taxpayers pay to subsidize a service if riders don’t care enough to chip in?

But this isn’t hard to fix.

You could run a sociology course on all the proffered reasons that 47.8% of riders are now boarding for free, up from about ¼ before the pandemic.

People are poor.

We’ve become anti-social.

Trust in government is low.

Bus service is bad.

But the primary reason is obvious: People think they can get away with it.

And they’re right: The $100 civil fine levied for evading the $2.90 fare means a scofflaw would have to get caught once every 35 times he skips the fare box for it to be worth it to actually pay.

That’s if he even bothers to pay the fine at all: Nearly half of the fare-evasion fines levied by the city go unpaid.

(Yes, the MTA can garnish your wages or your tax refund, but that assumes you work in the legal economy, not for cash, and that you file state taxes.)

Yet police focus most of their fare-evasion energy on the subway, so the MTA sends civilian “Eagle Teams” onto buses to ensure that fares are paid.

With only 200 such workers covering thousands of buses on 327 bus routes, that tiny task force is not much of a deterrence against a million fare evaders every day.

They’d have to give out 28,000 tickets daily to change the average fare evader’s cost-benefit calculus — when the entire transit system, both subways and buses, issues only about 600 violations a day.

High-profile media events, like the MTA’s mass-scale surge of fare enforcers on a few bus lines last week, won’t change people’s rational calculus.

The MTA did a similar high-profile crackdown during last August’s slow-news season, and . . . nothing happened.

The only thing that will change people’s minds is if they know that a penalty will be swift, certain and actually collected.

How?

First, as the MTA phases out the MetroCard in favor of tap cards, it should switch to an electronic “proof of payment” fare-enforcement system, as other global systems use.

“Proof of payment” means that a fare enforcer doesn’t have to witness you evading the fare, or, on the pay-before-you-board “select bus,” ask for an easily lost paper receipt.

An Eagle Team member (or police officer) could just board a bus and ask, say, every fourth passenger to tap his card against a hand-held inspection machine to prove that he paid.

Start and end your day informed with our newsletters Morning Report and Evening Update: Your source for today's top stories Thanks for signing up! Enter your email address Please provide a valid email address. By clicking above you agree to the Terms of Use and Privacy Policy. Never miss a story. Check out more newsletters

This would speed enforcement.

No longer would inspectors on “select bus” lines hold all passengers hostage on the bus, as people fumble for their receipts.

Second, introduce European-style, on-the-spot fine payment.

That is, if you didn’t pay your fare, you’ll pay it right now, the moment you’re caught, plus a high penalty.

This wouldn’t mean introducing a new fine for people without a credit card to tap or ready cash.

For example, a first-time (or first-time-caught) bus-fare evader could pay an immediate fine to the Eagle Team inspector of, say, $50 instead of the full, current $100 penalty.

Or, she could choose to receive a ticket and pay the full $100 fine later, as is the current procedure.

So for trying to save three bucks, you’d face an immediate $50 squeeze if caught, rather than a bill that won’t come due for a while.

Finally, ensure a real penalty for repeat evasion.

Third-time evaders should face a misdemeanor “theft of services” charge — one that comes with an actual punishment.

No, that doesn’t mean jail; it could mean community service, picking up trash.

Although, to stick misdemeanor theft-of-services charges, the state must reform its new evidence-discovery laws, which consume weeks of prosecutorial resources for even minor offenses, as Hannah Meyers described recently.

Success could even bring a reward for bus riders.

Unlike cities like London and Boston, which charge lower fares for their buses than their train systems, New York charges the same fare for both subways and buses, even though buses are slower.

Once we get fare evasion to an acceptable rate — say, below 5% — why not celebrate with a lower bus fare, maybe $2.25 instead of $2.90?

The MTA could advertise this goal on the buses, so that every time a paying passenger sees a freeloader board, he’ll know what that freeloader is costing us all.

Nicole Gelinas is a contributing editor to the Manhattan Institute’s City Journal.",https://nypost.com/2024/09/03/opinion/mta-can-defeat-the-bus-fare-deadbeats-heres-how/
Ramped up enforcement drives slight drop in bus fare evasion,2024-09-24 00:00:00,"It’s estimated the MTA loses nearly $700 million a year to fare evasion, over $300 million on buses, which were free during the COVID-19 pandemic.

“It has been something that has been hard to stem the tide, especially with opening the back door during the COVID period and the trend has continued,” New York City Transit Interim President Demetrius Crichlow said at the agency’s committee meeting Monday.

What You Need To Know Fare evasion on buses has grown from 38% of riders not paying at the start of 2023 to nearly 50% by the end of June 2024



The first two weeks of increased enforcement saw 3,200 more paid rides a day, a 4.6% increase on routes



The MTA said education is also part of the initiative and even riders on TikTok are helping spread the word about paying

The past year has seen a large increase in people not paying. It starts at approximately 38% of riders at the beginning of 2023, rising to nearly 50% by the end of June, despite issuing more than 40,000 summonses from January through mid-August.

But now, the MTA says it is making progress due to increased enforcement, with unarmed EAGLE Teams in plainclothes on buses. The members note who isn’t paying and taking those riders off at a central location to be met by the NYPD.

“Even in our first two weeks as we were [finding out] our deployment, we saw an increase of 3,200 paid rides per day,” Crichlow said. “And a 4.6% increase in paid rides on routes where we were enforcing the fare.”

Since this started Aug. 28, payments even increased on routes without enforcement.

The MTA said they are getting help to get the word out on TikTok, numerous riders warning others through posts about the new initiative.

But some transit advocates say this punishes poverty.

“It’s one thing to have a functional proof of payment system, which New York does not yet have, and to occasionally check to make sure that somebody who can afford to pay has paid,” Danny Pearlstein, director of policy and communications at Riders Alliance, said. “It’s another thing to waste the time of everyone already riding the slowest buses in America.”

But officials insist it’s not just about enforcement, noting EAGLE team members physically block people from boarding through the back door and get people to pay on the spot.

They also have digital signage throughout the system reminding riders to pay the fare.

“Before launching this initiative on buses, we had a day of action where we spoke to riders particularly at these locations and said we were going to be changing things up so there was no surprise,” Crichlow said.

Come January, the penalties will change in an effort to be more equitable.

A first offense will come with a warning, but the fine for a second will increase from $100 to $150. However, if an individual qualifies and enrolls in the low-income discounted fare program, Fair Fares, they can have their fine forgiven.",https://ny1.com/nyc/all-boroughs/traffic_and_transit/2024/09/24/mta-touts-drop-in-bus-fare-evasion-amid-crackdown
M.T.A. Says No More Free Bus Rides for Fare Evaders,2024-08-29 00:00:00,"On Thursday, a group of eight police officers and eight transit workers stood waiting for a crosstown bus on the Upper East Side of Manhattan, some with ticket-writing pads in hand.

When the bus arrived, they boarded and led a woman in black scrubs out onto the street and issued her a $100 summons for skipping the fare. The officers and transit officials had singled the woman out after receiving cues from an undercover inspector who was observing riders on the bus.

The woman appeared stunned and burst into tears. She was still crying when she boarded the next M96 bus that pulled up. This time she paid her fare.

While most of New York’s enforcement initiatives have focused on the subway, fare evasion is much more prevalent on city buses, and transit leaders this week expanded efforts on buses, where one out of two passengers fails to pay. According to the latest statistics from the Metropolitan Transportation Authority, the state agency lost $285 million in 2022 to fare evasion in the subway system and $315 million on buses, even as roughly twice as many passengers rode the trains.",https://www.nytimes.com/2024/08/29/nyregion/mta-fare-evasion-bus.html
Cracking down on fare evasion on New York’s subways and buses,2024-05-28 09:00:00+00:00,"New Yorkers have a lot of reasons for dodging bus and subway fares, but their habits are beginning to derail the transit system’s bottom line.

Some people truly can’t afford to pay for their trips. Some may have gotten used to free bus rides at the start of the pandemic four years ago. For others, it’s an inconvenience to swipe their MetroCards, or they simply feel entitled to a free ride.

This spring, the Metropolitan Transportation Authority hopes to finally begin collecting potentially billions of dollars in new revenue from congestion pricing after more than a decade of delays. But the recalcitrance of riders who refuse to pay is starting to add up.

People who pay say, ‘Why am I a sucker seeing everybody walk through the gate?’ MTA Chair and CEO Janno Lieber

“It’s a problem because it demoralizes riders. People who pay say, ‘Why am I a sucker seeing everybody walk through the gate?’” MTA Chair and CEO Janno Lieber told City & State. “It creates a sense of disorder in a public space where you really can’t have that feeling. People are not going to feel safe if they see everybody breaking the rules before they even get on the subway.”

Like most transit agencies across the country, the MTA depends heavily on the fare box to make up its more than $19 billion annual operating budget. Now transit ridership is merely two-thirds its previous highs before the pandemic and fares are down 26% from the first few months of 2020.

Lieber estimated that the transit system lost $200 million to $300 million from fare evasion before the pandemic. But by 2023, that number grew to $690 million in lost fare revenue according to a Citizens Budget Commission report. Even though the MTA collected $5 billion from paying subway and bus customers, fare evasion amounted to 14% of the agency’s potential pool of revenue and nearly 4% of its operating budget, according to MTA and City Council records.

Now, fare evasion is happening more frequently, especially on buses.

Bus fare evasion cost the MTA $315 million last year alone, which was more than the $285 million in subway fare evasion. In the last three months of 2023, 45% of local bus riders did not pay their fare to board, up from 21% in the last quarter of 2019. By comparison, 13% of subway riders skipped turnstiles over the same period last year, up from 5% at the end of 2019. (Several experts attributed the discrepancy to the fact that many buses did not collect fares during the pandemic and passengers in some areas may have gotten used to not paying them.)

Passengers who don’t pay their fares have stressed the MTA’s daily operations and its plans for the future, officials said.

“If you’re relying on revenue to come in and pay workers at the MTA to run the service that’s desperately needed and it doesn’t come in, that puts the transit system in not a great place and fares have to go up for everyone else who is paying,” said Kate Slevin, executive vice president at the Regional Plan Association.

Solutions that alter rider behavior have not been easy. In 2022, the MTA convened a task force of transit experts to study the root causes of fare and toll evasion and find ways to reduce them. Their recommendations included modernizing turnstiles and other entrances, downgrading enforcement so that a first offense earns a warning before a fine or summons, and expanding the income eligibility for its underused Fair Fares program so another 500,000 passengers would qualify for discounted service. State lawmakers adopted several measures in the state budget this year, but they didn’t extend a free bus pilot on one line in each borough. And the city must include more money in its budget in order to pay for an extension of Fair Fares.

“Fair Fares can address some of the (fare evasion issues),” said state Sen. Leroy Comrie, chair of the Corporations, Authorities and Commissions Committee. “It has not been advertised well for a lot of people. We need to make sure the Fair Fares program is capturing them and embracing them and they’re actually using it.”

The most visible way the MTA has sought to fight fare evasion has been through law enforcement. In the first few years of the pandemic, transit leaders urged New York City Mayor Eric Adams to deploy more police officers underground to combat a rash of assaults. But MTA officials also asked police to tackle fare evasion and requested another 800 officers in March. So far this year, police have arrested 1,700 people for fare evasion and ticketed another 28,000 people.

Lieber has been happy with the police presence in the transit system and wants district attorneys to press charges against repeat offenders.

“It’s stealing from other New Yorkers. It’s destroying the value system of our shared public spaces. And most importantly, it creates this sense of illegality and disorder in the system,” he said. “When you have people who can pay, and in many cases, wealthy people in wealthy neighborhoods who just make it a habit to waltz in with their $8 latte in their hand and not pay, I think that it’s time for the DAs to take action and I hope they will.”

But the reliance on the New York Police Department has brought its own set of problems.

Police have disproportionately arrested Black and Latino riders, who made up 93% of those arrested for fare evasion and two-thirds of those who received tickets in the fourth quarter of 2022. Bus riders who used the MTA’s new payment system, OMNY, complained that police ticketed them even though the system granted free rides after reaching their weekly fare cap. And the city’s migrants have said they have been increasingly targeted by police and arrested for illegally entering the subway, which could spiral into deportations.

The extra enforcement hasn’t been cheap either. Overtime pay for police in the subways skyrocketed from $4 million in 2022 to $155 million last year, Gothamist reported.

The aggressive spate of enforcement has disturbed transit advocates who questioned whether fare evasion should be criminalized in the first place. Danny Pearlstein, policy and communications director of the transit advocacy group Riders Alliance, said the hysteria over the crisis went back to the first campaign for congestion pricing more than a decade ago that sought to convince drivers to pay a new toll.

“Drivers should not support congestion pricing, so the logic goes, unless every last rider has the fare extracted from them,” he said. “And that doesn’t make any sense. It’s incredibly expensive to extract a fare from people who can’t and won’t pay.”

Pearlstein would like to see an expansion of Fair Fares as well as adding all-door boarding to buses and the extension of a free bus pilot on more lines in order to entice more riders to use city buses.

“It’s clear now after the pandemic that we can’t rely on fares as much as we did before. The (subways and buses) aren’t going to be crush-loaded with people who are going to offices five days a week,” he said. “I don’t see the Legislature funding free fares because that will cost several billion, but in the incremental way budgets are made, it’s possible we could arrive at that over several rounds from a fare-dependent system to one that is independent (of) fares.”",https://www.cityandstateny.com/policy/2024/05/cracking-down-fare-evasion-new-yorks-subways-and-buses/396821/
MTA Rolls Out More Rented Guards to Beat Fare Evasion,2024-08-14 00:00:00,"The MTA has doubled the ranks of private security guards posted near subway station emergency exits that officials call the “superhighway of fare evasion.”

Budget documents show that the MTA expects to spend more than $35 million through next year on increasing to 1,000 the number of unarmed security guards whose mere presence at the gates is intended to slow the stream of fare-beaters who use them as free entrances.

The MTA estimates that it takes a $700 to $800 million hit annually from nonpayment in the subways, buses and commuter railroads, as well as at its tolled bridges and tunnels.

“It does deter someone when they see someone in uniform standing in front of the gate, so I think this is a good idea,” said David Jones, an MTA board member who served on the agency’s Blue-Ribbon Panel on Fare and Toll Evasion. “And I can assure you that it costs vastly less than a fully trained police officer.”

The private guards, contracted through the security firm Allied Universal, are rotated “strategically” among stations, an MTA spokesperson said. The agency estimated in May that fare evasion fell by 20% to 30% at the 50 stations where they were initially deployed in 2022.

While the NYPD has also increased the number of officers in stations and on platforms in recent years — boosting the number of summonses and arrests for fare evasion, data show — the new, unarmed station guards lack law-enforcement authority.

Instead, the blue-shirted gate guards in safety vests stand near emergency exits. Several told THE CITY that they are instructed to avoid confrontations while directing would-be farebeaters to the turnstiles.

“If we weren’t here, there would be someone standing here literally where I am next to the gate, just allowing people to come in,” said a security guard at the Third Avenue-149th Street station, who asked to not have his name published.

NYPD officers are still using their enforcement authority, department data shows. Through the first six months of 2024, the number of “theft of service” summonses for not paying the fare has gone up 9% from the same period in 2023, with close to 69,000 issued through the end of June. The 42nd Street-Port Authority Bus Terminal station had the most among the 472 stations, with 2,072.

‘People Need to Get Places’

MTA Chairperson and CEO Janno Lieber has said complaints from regular riders about fare-beating hit him hardest.

“The people that I hear from the most, that make the most impact on me, are people of limited means who are frustrated when they see somebody else push by them without paying on the bus or push in through an exit gate in the subway,” he said after the agency’s July board meeting. “We owe it to those people who live their lives playing by the rules not to make them feel like suckers.”

After the blue-ribbon panel last year issued recommendations on how to reduce what it called “crisis levels” of fare evasion, the MTA said it has made some progress on curbing the practice.

A private security guard talks to a tourist at the South Ferry entrance, Aug. 8, 2024. Credit: Ben Fractenberg/THE CITY

But the agency faces an even greater challenge on the buses, where transit officials estimate that nearly half of its nearly 2 million riders do not pay to ride.

Among the new subway strategies are design changes to 1,400 turnstiles at 100 stations that prevent people from pulling the devices in the reverse direction and slide through without paying, delaying opening of some emergency gates by 15 seconds and bringing in additional security guards.

“It’s a step,” Jones, the board member, said of the guards. “I don’t think it’s going to be a panacea.”

Across stations in Brooklyn, Manhattan and The Bronx, THE CITY spotted people trying to unsuccessfully talk their way past the security guards at the emergency gates, but also observed groups of people waiting for unattended doors to be propped open so they could enter without paying while out of sight of two police officers on the platform.

“I ain’t got it,” said Antoine Brown, 38, who waited for a gate to open at Jay Street-MetroTech in Downtown Brooklyn.

At 34th Street-Penn Station, straphanger Damion Samuels said he sympathizes with New Yorkers who beat the fare.

“The city is becoming increasingly difficult to live in, people need to get places,” he said. “People have to do what they have to do.”

At the Third Avenue-149th Street stop, William Walvin, 27, stood by the turnstiles to the northbound platform waiting, unsuccessfully, for the guards to let him into the station.

“If I go through when the gates open, I’m going to get a ticket from the cops and I’m not trying to get a ticket,” said Walvin, who is unemployed. “So I have to go directly to the guards and be honest and say, ‘Listen, right now I don’t got it and I’m just trying to get a ride.’”",https://www.thecity.nyc/2024/08/14/mta-security-guards-fare-evasion/
Can a psychologist stop fare evaders? MTA mulls new strategy to save millions,2024-06-01 14:57:20+00:00,"The MTA wants to take a new approach to curbing fare evasion and numerous failed attempts.

This time, instead of installing gadgets to stop fare beaters, they're considering hiring a psychologist to get into their minds in hopes of ""shrinking"" the expensive problem.

The MTA website is now advertising an RFP — that’s request for proposal — for a “behaviorist” who can dig into the societal trends behind an epidemic of non-payment.

MTA executives have said they're in a high stakes battle. While only 13.6% of subway riders are fare evaders, nearly half of all bus passengers skip paying. It all adds up to a staggering projected loss of $700 million this year.

""We have to win or else the system is gone,"" MTA CEO Janno Lieber warned at a recent board meeting.

Some riders were skeptical of the psychological approach.

Get Tri-state area news delivered to your inbox. Sign up for NBC New York's News Headlines newsletter.

“I mean, if the behavior analyst can come up with a solution, I don’t think it’s gonna change the way people think,” said Sheila Sessums, a Bronx resident waiting for an uptown M102 bus in Manhattan.

The MTA's application for an expert seeks someone who can conduct research on the motivations and devise behavioral interventions to stop fare evasion.

The MTA is only thinking about the idea. With the potential of paying the consultant between half-a-million and $1 million over a six-month period.

“The MTA is advancing a holistic approach to address fare evasion that the blue ribbon panel recommended in 2023, including efforts to reinforce the importance of paying your fare and making it easier for customers to pay,"" an MTA spokesperson told News 4.

But the transit union said making buses free might be a better route than solving rider psychology.

“I don’t know how that’s gonna help a person who can’t pay the fare — telling them to feel good and then telling them get off the bus isn’t gonna really help,"" JP Patafio, of the Transport Workers Local 100, said Friday.

Transit officials presented the board with analysis on why people evade the fare, and they're already addressing a known weakness: closing open subway gates that have led to what the MTA chairman calls crime of opportunity.

The MTA has offered no timeline of when or if they’ll move forward on the plan.",https://www.nbcnewyork.com/news/local/mta-fare-evasion-plan/5467727/
NY MTA Chief Says Fare Evasion an ‘Existential Threat’,2024-01-31 00:00:00,"New York City subway and bus riders who skip paying fares are threatening the fiscal health of the nation’s largest public transportation provider and its ability to improve service, the transit authority’s chief executive said Wednesday.

“This is a fundamental, existential threat to our ability to provide first-class public transit and make it better, more frequent, more reliable,” Janno Lieber said during the agency’s monthly board meeting. “And so we got to push back.”",https://www.bloomberg.com/news/articles/2024-01-31/nyc-s-transit-chief-says-fare-evasion-an-existential-threat
MTA Steps Up Bus Fare Evasion Enforcement Amid Debate,2024-08-29 17:15:30-04:00,"Opinions from New Yorkers seemed split on Thursday as the NYPD and MTA ramped up fare evasion enforcement on NYC buses across the five boroughs.

Sign up for our amNewYork email newsletter to get news, updates, and local insights delivered straight to your inbox!

The NYPD and MTA ramped up fare evasion enforcement on NYC buses across the five boroughs on Thursday — but not all New Yorkers were keen on the crackdown.

amNewYork Metro was on the Upper East Side and in the Bronx on Aug. 29 as police and MTA Eagle Teams — some in plain clothes — vigorously scoured buses on both 97th Street and 5th Avenue and East Fordham and Grand Concourse.

Task force members removed those who did not pay for public transport from the bus, handing out tickets costing the violators $100 a pop.

“Since we’ve been doing this, we’ve watched people take out their card and pay, so it’s not that it’s an issue of whether or not people have the ability to pay, they’re just choosing to evade it,” Interim President of MTA Demetrius Crichlow said. “They are doing all of the things that New York provides, but they’re not paying us.”

This comes as the MTA say they have already been zeroing in on fare evasion, with weekly summonses going from 387 in January of 2024 to 2,263 in August.

As both officers and MTA security agents handed out fliers on the surge and inspected incoming buses, some commuters waiting at the stop applauded the enforcement — stating that they are sick of paying when others get away with free rides.

“I ride public transportation all the time, and I see fare evaders all the time, and it’s just not fair to those of us who pay the fare to have others come on for free,” Susan Tilson said.

Others agreed, arguing that with congestion pricing halted, the city needs to make up the cash in order to keep the trains and buses chugging.

“I do think it’s beneficial to have enforcement. I think that the MTA needs to have the fares paid, so I think that benefits everybody,” Sherril Fay said. “As I understand, the bus drivers are not encouraged to be the enforcers, and I totally understand that. I think that it’s not their place to do so.”

Some riders, however, believe the crackdown is more trouble than its worth — holding up buses and making people late along the way.

“This is useless, all they are doing is holding up the bus,” one rider said.

In one incident, a woman — who spoke with the help of a translator — said she was digging in her pockets to find change when the bus driver told her to move along and an MTA enforcement agent slapped her with a $100 fine. The woman lifted a small bag filled with silver coins to underscore her intentions.

In another incident, a man was issued a ticket for sneaking onboard a bus only for him to go right back on and once again not pay — only to get booted a second time.

NYPD Chief of Transit Michael Kemper told amNewYork Metro that cracking down on fare evasion citywide is far more important than merely dishing out summonses but also about catching dangerous criminals.

According to Kemper, gun arrests in the subway system are up 76.5% this year, which he attributes to stopping turnstile hopers.

“The public has to enter the buses lawfully through lawful means. That’s either through paying their fare, or, if you can’t afford your fare, through the fair fares program, that offers riders discounted rates, and also letting them know that if you don’t, there’s a chance that you’re going to be stopped by the police or MTA Eagle team,” Chief Kemper said. “You might get away with it today, you might get away with it tomorrow, but you will not get away with it the next day.”

Read more: Pro-Palestine March in Manhattan After Hostage Deaths",https://www.amny.com/new-york/bronx/mta-bus-fare-evasion-crackdown-2024/
NYC subway using AI to track fare evasion,2023-07-20 12:44:19+00:00,"Surveillance software that uses artificial intelligence to spot people evading fares has been quietly rolled out to some of New York City’s subway stations and is poised to be introduced to more by the end of the year, according to public documents and government contracts obtained by NBC News.

The system, which the city and its transit authority haven’t previously acknowledged by name, uses third-party software that its maker has touted as a way to engage law enforcement to help crack down on fare evasion.

The system was in use in seven subway stations in May, according to a report on fare evasion published online by the Metropolitan Transit Authority, which oversees New York City’s public transportation. The MTA expects that by the end of the year, the system will expand by “approximately two dozen more stations, with more to follow,” the report says. The report also found that the MTA lost $690 million to fare evasion in 2022.

Joana Flores, an MTA spokesperson, said the AI system doesn’t flag fare evaders to New York police, but she declined to comment on whether that policy could change. A police spokesperson declined to comment.

A man jumps the turnstile at a subway station in New York City in 2019. Erik McGregor / LightRocket via Getty Images file

Tim Minton, the MTA’s communications director, said the system tracks fare evasion to figure out how much money the subway isn’t collecting.

“We’re using it essentially as a counting tool,” Minton said. “The objective is to determine how many people are evading the fare and how are they doing it.”

Minton said the videos are stored on the MTA’s servers and are kept “for a limited period.” New York Gov. Kathy Hochul’s office announced last year that the city’s transit systems had more than 10,000 surveillance cameras.

Use of the software adds to what some privacy advocates see as a growing surveillance apparatus developing in New York City.

“This is a moment where movement around the city has never been more surveilled,” said Albert Fox Cahn, the director of the Surveillance Technology Oversight Project, a nonprofit legal group that advocates for privacy rights in New York City.

“We’re already seeing the proliferation of automated license plate readers. We’ve seen data collection on Uber and Lyft histories. We see tens of thousands of cameras accessible to the NYPD when people are walking about in public,” Cahn said. “So it’s increasingly becoming a city where there’s no way to navigate it privately.”

The software was created by the Spanish company AWAAIT, Flores confirmed. AWAAIT declined to comment.

A promotional video for AWAAIT’s fare evasion software, created by a Spanish company that operates Barcelona metro trains, depicts a system in which an AWAAIT system was initially used to scan riders going through the metro system and send photos of people it determined were fare evaders to the smartphones of nearby station agents.

Assurances from the MTA that the software wouldn’t be used to aid law enforcement have done little to encourage some privacy and civil rights advocates, who were already alarmed over previous efforts to crack down on fare evasion.

In 2019, city police patrol officers were instructed to ticket most fare evaders rather than arrest them if they could provide identification and passed checks through the police department’s Domain Awareness System, a central hub of surveillance and crime information overseen by the NYPD Counterterrorism Bureau.

New York has increased the number of police officers stationed in subway stations since last year, and arrests have steadily risen, as well. The police department has historically arrested Black and Latino riders for fare evasion at far greater rates than those of other races, prompting allegations of racism.

Molly Griffard, a staff attorney at the Legal Aid Society, a law firm that advocates for social justice, said enforcing fare evasion often ends up targeting the poor.

“It’s really unfortunate that rather than thinking about how the city and state can be making these services more available, more accessible to the public, they’re spending all this time and money on enforcement mechanisms to try to get money from the lowest-income New Yorkers,” Griffard said.

A heavily redacted MTA contract for the AI system from July 2022, which Cahn acquired through a Freedom of Information Law request and shared with NBC News, shows that the system was first tested in New York City in 2020, with more stations added in 2021. The exact number of stations is redacted. GovSpend, a database of government spending records, shows that the MTA made two purchases in 2021 for “AWAAIT Video Analytics Fare Evasion Software,” for a combined $35,335. Figures for 2022 weren’t available.

Cahn said the use of the technology to try to track fare evasion illustrated misguided priorities.

“We keep seeing this consistent criminalization of fare evasion even though it hurts no one,” he said. “And this really just feels like politics driving bad technology and bad policy.”",https://www.nbcnews.com/tech/tech-news/nyc-subway-using-ai-track-fare-evasion-rcna93045
"Fare Evasion Surges on N.Y.C. Buses, Where 48% of Riders Fail to Pay",2024-08-26 00:00:00,"Every weekday in New York City, close to one million bus riders — roughly one out of every two passengers — board without paying. The skipped fares are a crucial and growing loss of revenue for the Metropolitan Transportation Authority, which is under severe financial pressure.

New York’s long-running fare evasion problem, among the worst of any major city in the world, has intensified recently; before the pandemic, only about one in five bus riders skipped the fare.

Yet public officials have done relatively little to collect the lost revenue from bus riders. Instead, they have focused almost exclusively on the subway system, where waves of police officers and private security guards have been deployed to enforce payment, even as fare evasion rates on trains are dwarfed by those on buses.

During the first three months of this year, 48 percent of bus riders did not pay, according to the latest available statistics from the transit authority, while 14 percent of subway riders evaded fares. Roughly twice the number of people ride the city’s subways as ride its buses.",https://www.nytimes.com/2024/08/26/nyregion/nyc-bus-subway-fare-evasion.html
